Rank,NCTId,Phase,StudyType,ConditionMeshTerm,PrimaryOutcomeMeasure,StdAge,InterventionType,InterventionName,InterventionOtherName,InterventionMeshTerm,InterventionAncestorTerm,LeadSponsorName,LeadSponsorClass,ResponsiblePartyInvestigatorAffiliation,OverallOfficialAffiliation,CollaboratorName,CollaboratorClass,BriefSummary
176,NCT02010801,Not Applicable,Interventional,Liver Neoplasms,Complete treatment,Adult|Older Adult,Procedure|Device,irreversible electroporation|nanoknife AngioDynamics US Ltd,nanoknife,,,National Taiwan University Hospital,OTHER,,National Taiwan University Hospital,,,"Liver cancer including primary hepatocellular carcinoma (HCC) and metastatic liver cancers is one the most common malignancies in the world. Over 10000 new cases per year are diagnosed in Taiwan. Despite the many treatment options, the prognosis of HCC remains dismal. More than 8000 people died of this cancer every year in Taiwan. A majority (70%to 85%) of patients present with advanced or unresectable disease. In contrast, small liver cancers can be cured with an appreciable frequency. Five-year disease-free survival exceeding 50% has been reported for surgical resection, and for the inoperable patients who do not have vascular invasion or extrahepatic spread. Radiofrequency ablation (RFA) is recommended as an alternative curative therapy. However, the main drawback of RFA is its limitation to tumor size and location. The tumors larger than 5 cm in diameter or located adjacent to vessels, could not be ablated completely.||Irreversible electroporation (IRE), developed and manufactured by AngioDynamics US Ltd, can ablate tumor by fenestrating the cancer cell membrane by electric pulse. The anti-tumor effect does not result from thermotherapy, so is also not diminished by adjacent vessels. Several pre-clinical studies have already demonstrated IRE is a safe and effective treatment for live cancers. The system has received CE mark approval in 2008 and FDA approval in 2010. However, there is no experience in using IRE fro tumor ablation in Taiwan. In this study, the investigators will perform intraoperative IRE for the patients with liver cancers who are scheduled to receive hepatectomy in our hospital, and the investigators will evaluate the ablate effect of tumors on specimens, and the effect of adjacent vessels. The investigators will appraisal the clinical feasibility and advantage of the system by this study."
177,NCT05539157,Phase 1,Interventional,Neoplasms|Skin Neoplasms,Dose limiting toxicity|Incidence of adverse events (Safety and Tolerability),Adult|Older Adult,Drug,JCXH-211,,,,"Immorna Biotherapeutics, Inc.",INDUSTRY,,,,,"A Phase 1 Open-Label Study to Evaluate the Safety, Tolerability and Efficacy of JCXH-211 Intratumoral Injection in Patients with Malignant Solid Tumors"
178,NCT01258868,Phase 1,Interventional,"Sarcoma|Esophageal Neoplasms|Mesothelioma|Mesothelioma, Malignant|Thymoma",Tabulation of patient toxicities and their grades,Adult|Older Adult,Drug|Biological,Celebrex|Tumor cell vaccine,,Celecoxib,"Anti-Inflammatory Agents, Non-Steroidal|Analgesics, Non-Narcotic|Analgesics|Sensory System Agents|Peripheral Nervous System Agents|Physiological Effects of Drugs|Anti-Inflammatory Agents|Antirheumatic Agents|Cyclooxygenase 2 Inhibitors|Cyclooxygenase Inhibitors|Enzyme Inhibitors|Molecular Mechanisms of Pharmacological Action",National Cancer Institute (NCI),NIH,,National Cancer Institute (NCI),,,"Background:||- Recent research has shown that causing an immune response to tumor cells may help slow or stop the growth of tumors. One treatment that has come from this research involves collecting and modifying a cancer patient's tumor cells in the laboratory, then returning the cells to the patient as a vaccine to encourage the immune system to respond to them. Researchers are interested in testing tumor cell vaccines with an experimental drug called ISCOMATRIX , which can be added to a vaccine in order to elicit a stronger immune response in the body. ISCOMATRIX has not been approved for sale and use in any country and its use is still experimental, though it has been tested and used safely in other clinical studies. Researchers are also interested in determining whether the anti-inflammatory drug celecoxib will improve the body's immune reaction if given with the vaccine.||Objectives:||- To assess the safety and effectiveness of tumor cell vaccines given with ISCOMATRIX and celecoxib in the treatment of lung and esophagus cancers.||Eligibility:||Individuals at least 18 years of age who have primary small cell or non-small cell lung cancer, esophageal cancer, or pleural mesothelioma that can be removed by surgery.|Only individuals whose tumor cells are able to produce a tumor cell line for vaccine development will be eligible for treatment.||Design:||Participants will be screened with a physical examination and medical history, and will have tumor tissue collected during their surgery to determine whether the tumor cells can be used to produce a vaccine.|Participants will take celecoxib twice daily for 7 days before having the first tumor cell vaccination. Participants will also have leukapheresis to collect blood cells for testing before the first vaccination.|Participants will receive one vaccine (which may be given in two shots) monthly for 6 months, and will continue to take celecoxib twice daily. One month after the 6th vaccine shot, participants will have another leukapheresis and skin test. If these tests show that a participant is responding to the vaccine, additional vaccines will be given every 3 months for up to 2 years.|Participants will have a physical exam and lab tests before each vaccination, blood samples and imaging studies every 3 months, and a skin test every 6 months.|Participants will have regular followup visits with imaging studies and blood samples for up to 5 years after the first vaccination, or until a new tumor develops."
179,NCT04068155,Not Applicable,Interventional,Neoplasm Metastasis|Skin Neoplasms,The objective response rate to DaRT treatment,Adult|Older Adult,Device,DaRT- Diffusing Alpha-emitters Radiation Therapy,,,,Alpha Tau Medical LTD.,INDUSTRY,,"Centre Leon Berard|Antoine Lacassagne Cancer Center|University Hospital, Grenoble",,,A unique approach for cancer treatment employing intratumoral diffusing alpha radiation emitter device for Malignant Cutaneous Tumors
180,NCT04405557,,Observational,Neoplasms,Analysis of ctDNA for early detection in cancer high-risk population.,Adult|Older Adult,,,,,,Geneplus-Beijing Co. Ltd.,INDUSTRY,,Chinese PLA General Hospital,Chinese PLA General Hospital,OTHER,"This is a observational, multicenter study, monitoring the circulating tumor DNA (ctDNA) in people who is at risk of cancers，assessing the sensitivity and specificity of ctDNA detection in early screening of pan-carcinoma."
181,NCT05499715,Phase 1,Interventional,Neoplasms,Objective Response Rate (ORR),Adult|Older Adult,Biological,ScTIL injection,,,,"Cancer Institute and Hospital, Chinese Academy of Medical Sciences",OTHER,"Cancer Institute and Hospital, Chinese Academy of Medical Sciences","Department of oncology, Cancer hospital of Chinese Academy of Medical Sciences","Beijing ChineoMedical Technology Co., Ltd",UNKNOWN,"This is an open-lable, single-arm, dose escalation and dose extension phase I clinical study of ScTIL designed to observe and evaluate the safety, the tolerance, the pharmacokinetic characteristics and the effectiveness of ScTIL in the treatment of advanced malignant solid tumors, in order to provide the basis for the future clinical research to explore the best recommended phase II dose (PR2D) and treatment scheme."
182,NCT04280341,Phase 1,Interventional,Neoplasms,DLT(dose-limiting toxicity)|ORR|DOR,Adult|Older Adult,Biological,RC48-ADC in combinaton with JS001,,,,Peking University,OTHER,Peking University,Peking University,"RemeGen Co., Ltd.",INDUSTRY,"This is a non-randomized, open-label, single-arm, multicenter Phase I clinical trial which will evaluate the Safety, Efficacy, Tolerability and Pharmacokinetics of RC48-ADC in combinaton with Anti-PD1 Monoclonal Antibody in Treatment of HER2-Positive Advanced Malignant Solid Tumors."
183,NCT00238602,Phase 1|Phase 2,Interventional,Lung Neoplasms,Maximal tolerated dose (MTD) that can be delivered with stereotactic radiosurgery in patients with inoperable malignant lung tumors|Efficacy of radiosurgical ablation of lung tumors in terms of symptoms and radiographic responses,Adult|Older Adult,Procedure,Stereotactic radiosurgery,,,,Stanford University,OTHER,,Stanford University,,,"This study has two primary objectives. The first objective is to determine the maximal tolerated dose (MTD) that can be delivered with stereotactic radiosurgery in patients with inoperable malignant lung tumors. Once the MTD is established, the second objective is to determine the efficacy of radiosurgical ablation of lung tumors in terms of symptoms and radiographic responses."
184,NCT00107185,Phase 1,Interventional,Glioma|Nervous System Neoplasms|Central Nervous System Neoplasms,Dose-limiting toxicity of adjuvant vaccination with autologous tumor lysate-pulsed dendritic cells after surgical resection in pediatric patients with malignant glioma.,Child|Adult,Biological,therapeutic autologous dendritic cells,,,,Jonsson Comprehensive Cancer Center,OTHER,,Jonsson Comprehensive Cancer Center,,,RATIONALE: Vaccines made from a person's white blood cells and tumor cells may help the body build an effective immune response to kill tumor cells. Giving vaccine therapy after surgery may be a more effective treatment for malignant glioma.||PURPOSE: This phase I trial is studying the side effects and best dose of vaccine therapy in treating young patients who are undergoing surgery for malignant glioma.
185,NCT04730102,,Observational,Rectal Neoplasms,Existence of intraluminal malignant cells in fluid samples from rectal washout,Adult|Older Adult,Procedure,Rectal washout,,,,Slagelse Hospital,OTHER,,"Skåne University Hospital, Malmö, Region Skåne, Sweden",Skane University Hospital|Lund University,OTHER|OTHER,The study aims to assess the existence of intraluminal malignant cells and the appropriate fluid volume needed to perform rectal washout during transanal total mesorectal excision (taTME) for rectal cancer.
186,NCT04180774,Phase 1|Phase 2,Interventional,"Melanoma|Kidney Neoplasms|Carcinoma, Renal Cell",Adverse events rate,Adult|Older Adult,Biological,Tag-7 gene modified inactivated tumor cells,,,,N.N. Petrov National Medical Research Center of Oncology,OTHER,,Institute of Gene Biology of the Russian Academy of Sciences,Institute of Gene Biology Russian Academy of Sciences,UNKNOWN,This study was designed to assess the safety and efficacy of inactivated tumor cells genetically modified with the TAG-7 gene as immunotherapy for cancer. Patients with melanoma or kidney cancer were included since they have immune-dependent tumors. Treatment was done in the adjuvant setting after complete cytoreduction of locally advanced or metastatic disease or in the therapeutic setting in patients where complete cytoreduction was impossible.
187,NCT05305937,Not Applicable,Interventional,Breast Neoplasms,Detection and diagnosis of malignant tumors in the breast,Adult|Older Adult,Device,MRI scan,,,,Meir Medical Center,OTHER,Meir Medical Center,,Tel Aviv University,OTHER,"MRI is a well-established method in breast imaging. It gives excellent morphological information but does not reflect the metabolic activity leading to high proportion of false positive results. PET-CT fulfills this gap but suffers from low resolution and the risk of radiation damage. Lately, chemical exchange saturation transfer (CEST) MRI of glucose has been proposed as a new molecular imaging approach for diagnosing tumors given its high sensitivity at the molecular level and the known enhanced glucose uptake by tumors. Several glucose analogs were examined as possible candidates for imaging of breast tumors. One of the most promising agent for CEST-MRI is glucosamine (GlcN); owing to its phosphorylated products that accumulate in breast tumors, it enables to reflect their metabolic profile. In preclinical experiments glucosamine exhibits enhanced CEST signals in 4T1 and MCF7 implanted breast cancer cells in mice. Its potential for the human clinical application is strengthened by its lack of toxicity. Here the investigators propose to test the method for human subjects on a clinical MRI setup. The goal of this study is to develop innovative molecular imaging modality based on CEST-MRI of GlcN for the detection of breast tumors. The investigators will use the newly developed CEST-MRI modality for the detection of benign and malignant breast cancer in a clinical MRI scanner.||."
188,NCT01588548,Phase 1,Interventional,Lymphoma|Neoplasms,Best Objective Response Based on RECIST Criteria (Evaluable for Response Analysis Set for RECIST Criteria),Adult|Older Adult,Drug,AZD1208,,,,AstraZeneca,INDUSTRY,,AZ,,,The purpose of this study is to investigate the safety and tolerability of AZD 1208 up to a maximum tolerated dose (MTD) and define the dose(s) for further clinical evaluation when given daily to patients with advanced solid malignancies including malignant lymphoma
189,NCT00898079,,Observational,"Leukemia|Neoplasms|Leukemia, Myeloid|Leukemia, Myeloid, Acute|Precursor Cell Lymphoblastic Leukemia-Lymphoma|Leukemia, Lymphocytic, Chronic, B-Cell|Leukemia, Myelogenous, Chronic, BCR-ABL Positive|Leukemia, Hairy Cell|Leukemia, Prolymphocytic|Leukemia, Myeloid, Chronic, Atypical, BCR-ABL Negative|Leukemia, Myelomonocytic, Juvenile|Leukemia, Large Granular Lymphocytic|Leukemia, Mast-Cell","Repository of malignant, borderline malignant neoplasms, and related biological specimens",Child|Adult,Other,Cytology Specimen Collection Procedure,Cytologic Sampling,,,Children's Oncology Group,NETWORK,,Children's Oncology Group,National Cancer Institute (NCI),NIH,"This study is collecting and storing malignant, borderline malignant neoplasms, and related biological samples from young patients with cancer. Collecting and storing samples of tumor tissue, blood, and bone marrow from patients with cancer to study in the laboratory may help the study of cancer in the future."
